System Time,Speed (km/h),Throttle,Brake,Steering Angle,posX,posY,posZ,Date,Time,Seconds
2024-04-10 11:21:29.661,3.46,0.12,0.0,-16.289,-16687.78906,-25.5392,252.04379,2024-04-10,0 days 11:21:29.661000,0.0
2024-04-10 11:21:29.661,3.46,0.12,0.0,-16.289,-16687.7832,-25.53926,252.04395,2024-04-10,0 days 11:21:29.661000,0.0
2024-04-10 11:21:29.661,3.46,0.12,0.0,-16.289,-16687.77734,-25.53933,252.04411,2024-04-10,0 days 11:21:29.661000,0.0
2024-04-10 11:21:29.661,3.46,0.12,0.0,-16.289,-16687.76953,-25.53941,252.04431,2024-04-10,0 days 11:21:29.661000,0.0
2024-04-10 11:21:29.678,3.69,0.13,0.0,-16.218,-16687.76367,-25.53948,252.04449,2024-04-10,0 days 11:21:29.678000,0.018
2024-04-10 11:21:29.678,3.69,0.13,0.0,-16.218,-16687.75781,-25.53955,252.04466,2024-04-10,0 days 11:21:29.678000,0.018
2024-04-10 11:21:29.678,3.69,0.13,0.0,-16.218,-16687.75195,-25.53963,252.04482,2024-04-10,0 days 11:21:29.678000,0.018
2024-04-10 11:21:29.678,3.69,0.13,0.0,-16.218,-16687.74609,-25.5397,252.04494,2024-04-10,0 days 11:21:29.678000,0.018
2024-04-10 11:21:29.695,3.92,0.13,0.0,-16.119,-16687.73828,-25.53977,252.04504,2024-04-10,0 days 11:21:29.695000,0.033
2024-04-10 11:21:29.695,3.92,0.13,0.0,-16.119,-16687.73242,-25.53984,252.04517,2024-04-10,0 days 11:21:29.695000,0.033
2024-04-10 11:21:29.695,3.92,0.13,0.0,-16.119,-16687.72461,-25.53991,252.04529,2024-04-10,0 days 11:21:29.695000,0.033
2024-04-10 11:21:29.695,3.92,0.13,0.0,-16.119,-16687.71875,-25.54001,252.04541,2024-04-10,0 days 11:21:29.695000,0.033
2024-04-10 11:21:29.712,4.17,0.13,0.0,-15.982,-16687.71094,-25.54012,252.04552,2024-04-10,0 days 11:21:29.712000,0.067
2024-04-10 11:21:29.712,4.17,0.13,0.0,-15.982,-16687.70508,-25.54024,252.04558,2024-04-10,0 days 11:21:29.712000,0.067
2024-04-10 11:21:29.712,4.17,0.13,0.0,-15.982,-16687.69727,-25.54035,252.04558,2024-04-10,0 days 11:21:29.712000,0.067
2024-04-10 11:21:29.712,4.17,0.13,0.0,-15.982,-16687.68945,-25.54045,252.04555,2024-04-10,0 days 11:21:29.712000,0.067
2024-04-10 11:21:29.745,4.37,0.14,0.0,-15.856,-16687.68359,-25.54054,252.04552,2024-04-10,0 days 11:21:29.745000,0.083
