System Time,Speed (km/h),Throttle,Brake,Steering Angle,posX,posY,posZ,Date,Time,Seconds
2024-04-10 11:47:41.600,0.0,0.0,0.0,0.0,-16378.68652,-34.2188,255.67169,2024-04-10,0 days 11:47:41.600000,0.0
2024-04-10 11:47:41.600,0.0,0.0,0.0,0.0,-16378.68652,-34.21881,255.67159,2024-04-10,0 days 11:47:41.600000,0.0
2024-04-10 11:47:41.600,0.0,0.0,0.0,0.0,-16378.68652,-34.21877,255.67139,2024-04-10,0 days 11:47:41.600000,0.033
2024-04-10 11:47:41.616,0.05,0.01,0.0,0.0,-16378.68652,-34.21873,255.67113,2024-04-10,0 days 11:47:41.616000,0.033
2024-04-10 11:47:41.616,0.05,0.01,0.0,0.0,-16378.68652,-34.21867,255.67073,2024-04-10,0 days 11:47:41.616000,0.033
2024-04-10 11:47:41.616,0.05,0.01,0.0,0.0,-16378.68652,-34.21861,255.67007,2024-04-10,0 days 11:47:41.616000,0.033
2024-04-10 11:47:41.616,0.05,0.01,0.0,0.0,-16378.68652,-34.21857,255.66933,2024-04-10,0 days 11:47:41.616000,0.05
2024-04-10 11:47:41.634,0.05,0.01,0.0,2.637,-16378.68652,-34.21854,255.66853,2024-04-10,0 days 11:47:41.634000,0.05
2024-04-10 11:47:41.634,0.05,0.01,0.0,2.637,-16378.68652,-34.21849,255.66786,2024-04-10,0 days 11:47:41.634000,0.05
2024-04-10 11:47:41.634,0.05,0.01,0.0,2.637,-16378.68652,-34.21845,255.6673,2024-04-10,0 days 11:47:41.634000,0.05
2024-04-10 11:47:41.634,0.05,0.01,0.0,2.637,-16378.68652,-34.21842,255.6667,2024-04-10,0 days 11:47:41.634000,0.066
2024-04-10 11:47:41.649,0.05,0.01,0.0,2.622,-16378.68652,-34.21839,255.66612,2024-04-10,0 days 11:47:41.649000,0.066
2024-04-10 11:47:41.649,0.05,0.01,0.0,2.622,-16378.68652,-34.21836,255.66556,2024-04-10,0 days 11:47:41.649000,0.066
2024-04-10 11:47:41.649,0.05,0.01,0.0,2.622,-16378.68652,-34.21835,255.6649,2024-04-10,0 days 11:47:41.649000,0.066
2024-04-10 11:47:41.666,0.04,0.02,0.0,2.639,-16378.68652,-34.21833,255.66417,2024-04-10,0 days 11:47:41.666000,0.066
2024-04-10 11:47:41.666,0.04,0.02,0.0,2.639,-16378.68652,-34.21832,255.66345,2024-04-10,0 days 11:47:41.666000,0.1
2024-04-10 11:47:41.666,0.04,0.02,0.0,2.639,-16378.68652,-34.21833,255.6628,2024-04-10,0 days 11:47:41.666000,0.1
2024-04-10 11:47:41.666,0.04,0.02,0.0,2.639,-16378.68652,-34.21834,255.66222,2024-04-10,0 days 11:47:41.666000,0.1
2024-04-10 11:47:41.685,0.05,0.02,0.0,2.625,-16378.68555,-34.21837,255.66159,2024-04-10,0 days 11:47:41.685000,0.1
2024-04-10 11:47:41.685,0.05,0.02,0.0,2.625,-16378.68555,-34.21841,255.66095,2024-04-10,0 days 11:47:41.685000,0.116
2024-04-10 11:47:41.685,0.05,0.02,0.0,2.625,-16378.68555,-34.21845,255.66035,2024-04-10,0 days 11:47:41.685000,0.116
2024-04-10 11:47:41.685,0.05,0.02,0.0,2.625,-16378.68555,-34.21848,255.65977,2024-04-10,0 days 11:47:41.685000,0.116
2024-04-10 11:47:41.701,0.06,0.03,0.0,2.654,-16378.68555,-34.21852,255.65923,2024-04-10,0 days 11:47:41.701000,0.116
2024-04-10 11:47:41.701,0.06,0.03,0.0,2.654,-16378.68457,-34.21855,255.65869,2024-04-10,0 days 11:47:41.701000,0.135
2024-04-10 11:47:41.701,0.06,0.03,0.0,2.654,-16378.68457,-34.21859,255.65816,2024-04-10,0 days 11:47:41.701000,0.135
2024-04-10 11:47:41.717,0.1,0.03,0.0,2.68,-16378.68457,-34.21862,255.65765,2024-04-10,0 days 11:47:41.717000,0.135
2024-04-10 11:47:41.717,0.1,0.03,0.0,2.68,-16378.68457,-34.21865,255.65715,2024-04-10,0 days 11:47:41.717000,0.135
2024-04-10 11:47:41.717,0.1,0.03,0.0,2.68,-16378.68359,-34.21869,255.65666,2024-04-10,0 days 11:47:41.717000,0.151
2024-04-10 11:47:41.717,0.1,0.03,0.0,2.68,-16378.68359,-34.21873,255.65622,2024-04-10,0 days 11:47:41.717000,0.151
2024-04-10 11:47:41.733,0.14,0.03,0.0,2.662,-16378.68262,-34.21875,255.65582,2024-04-10,0 days 11:47:41.733000,0.151
2024-04-10 11:47:41.733,0.14,0.03,0.0,2.662,-16378.68262,-34.21877,255.65549,2024-04-10,0 days 11:47:41.733000,0.151
2024-04-10 11:47:41.733,0.14,0.03,0.0,2.662,-16378.68262,-34.21879,255.65515,2024-04-10,0 days 11:47:41.733000,0.184
2024-04-10 11:47:41.733,0.14,0.03,0.0,2.662,-16378.68164,-34.21881,255.65479,2024-04-10,0 days 11:47:41.733000,0.184
2024-04-10 11:47:41.767,0.19,0.04,0.0,2.672,-16378.68164,-34.21881,255.65445,2024-04-10,0 days 11:47:41.767000,0.184
2024-04-10 11:47:41.767,0.19,0.04,0.0,2.672,-16378.68066,-34.21882,255.65413,2024-04-10,0 days 11:47:41.767000,0.184
2024-04-10 11:47:41.767,0.19,0.04,0.0,2.672,-16378.67969,-34.21884,255.65381,2024-04-10,0 days 11:47:41.767000,0.2
2024-04-10 11:47:41.782,0.24,0.04,0.0,2.675,-16378.67969,-34.21885,255.65352,2024-04-10,0 days 11:47:41.782000,0.2
2024-04-10 11:47:41.782,0.24,0.04,0.0,2.675,-16378.67871,-34.21885,255.65324,2024-04-10,0 days 11:47:41.782000,0.2
