System Time,Speed (km/h),Throttle,Brake,Steering Angle,posX,posY,posZ,Date,Time,Seconds
2024-04-10 14:08:41.656,0.0,0.0,0.5,0.0,-16688.02148,-25.53675,252.05681,2024-04-10,0 days 14:08:41.656000,0.0
2024-04-10 14:08:41.656,0.0,0.0,0.5,0.0,-16688.02148,-25.53675,252.05669,2024-04-10,0 days 14:08:41.656000,0.0
2024-04-10 14:08:41.656,0.0,0.0,0.5,0.0,-16688.02148,-25.53669,252.0565,2024-04-10,0 days 14:08:41.656000,0.0
2024-04-10 14:08:41.656,0.0,0.0,0.5,0.0,-16688.02148,-25.53665,252.05624,2024-04-10,0 days 14:08:41.656000,0.0
2024-04-10 14:08:41.672,0.04,0.0,0.0,0.0,-16688.02148,-25.53662,252.05583,2024-04-10,0 days 14:08:41.672000,0.016
2024-04-10 14:08:41.672,0.04,0.0,0.0,0.0,-16688.02148,-25.53659,252.05515,2024-04-10,0 days 14:08:41.672000,0.016
2024-04-10 14:08:41.672,0.04,0.0,0.0,0.0,-16688.02148,-25.53657,252.05443,2024-04-10,0 days 14:08:41.672000,0.016
2024-04-10 14:08:41.690,0.05,0.0,0.0,-19.002,-16688.02148,-25.53654,252.0536,2024-04-10,0 days 14:08:41.690000,0.016
2024-04-10 14:08:41.690,0.05,0.0,0.0,-19.002,-16688.02148,-25.53655,252.0529,2024-04-10,0 days 14:08:41.690000,0.032
2024-04-10 14:08:41.690,0.05,0.0,0.0,-19.002,-16688.02148,-25.53662,252.05228,2024-04-10,0 days 14:08:41.690000,0.032
2024-04-10 14:08:41.690,0.05,0.0,0.0,-19.002,-16688.02148,-25.53666,252.05171,2024-04-10,0 days 14:08:41.690000,0.032
2024-04-10 14:08:41.706,0.05,0.01,0.0,-19.053,-16688.02148,-25.53667,252.05115,2024-04-10,0 days 14:08:41.706000,0.032
2024-04-10 14:08:41.706,0.05,0.01,0.0,-19.053,-16688.02148,-25.53665,252.05057,2024-04-10,0 days 14:08:41.706000,0.05
2024-04-10 14:08:41.706,0.05,0.01,0.0,-19.053,-16688.02148,-25.53663,252.04988,2024-04-10,0 days 14:08:41.706000,0.05
2024-04-10 14:08:41.706,0.05,0.01,0.0,-19.053,-16688.02344,-25.53659,252.0491,2024-04-10,0 days 14:08:41.706000,0.05
2024-04-10 14:08:41.722,0.06,0.02,0.0,-19.064,-16688.02344,-25.5366,252.04832,2024-04-10,0 days 14:08:41.722000,0.05
